Chapter,Sub chapter,Toponym,Gazetteer ID,country ,lat,long
1,1,East India,geonames:8373794,SY,33.51869,36.27763
1,1,PERSIAN GULF,geonames:6915989,IR,27,51
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,Europe,geonames:6255148,,48.69096,9.14062
1,1,the Middle East,,,,
1,1,Red Sea,geonames:361468,EG,27.18624,33.78845
1,1,Egypt,geonames:357994,EG,27,30
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,Syria,geonames:163843,SY,35,38
1,1,Europe,geonames:6255148,,48.69096,9.14062
1,1,Asia,geonames:6255147,,29.84064,89.29688
1,1,Venice,geonames:3164603,IT,45.43713,12.33265
1,1,Genoa,geonames:3176219,IT,44.40478,8.94439
1,1,Genoa,geonames:3176219,IT,44.40478,8.94439
1,1,Constantinople,geonames:745044,TR,41.01384,28.94966
1,1,Egypt,geonames:357994,EG,27,30
1,1,Venice,geonames:3164603,IT,45.43713,12.33265
1,1,India,geonames:1269750,IN,22,79
1,1,Portugal,geonames:2264397,PT,39.6945,-8.13057
1,1,India,geonames:1269750,IN,22,79
1,1,Africa,geonames:6255146,,7.1881,21.09375
1,1,Dom Pedro,geonames:2268678,PT,38.98211,-7.77142
1,1,Portugal,geonames:2264397,PT,39.6945,-8.13057
1,1,Grand Turk,geonames:5423591,US,37.77666,-107.69562
1,1,Babylonia,geonames:3471239,BR,-22.55,-44.46667
1,1,Abyssinia,geonames:337996,ET,9,39.5
1,1,India,geonames:1269750,IN,22,79
1,1,Cape of Good Hope,geonames:4611223,US,35.1773,-85.90914
1,1,Africa,geonames:6255146,,7.1881,21.09375
1,1,Cannanore,geonames:1274987,IN,11.86752,75.35763
1,1,Calicut,geonames:1265873,IN,11.24802,75.7804
1,1,Goa,geonames:3176219,IT,44.40478,8.94439
1,1,Hormuz,geonames:131231,IR,27.095,56.4529
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,Zaila,geonames:9009825,CD,-7.13415,24.22488
1,1,Safala,geonames:2440019,NE,14.8385,3.36
1,1,Cairo,geonames:360630,EG,30.06263,31.24967
1,1,Cairo,geonames:360630,EG,30.06263,31.24967
1,1,Beja,geonames:2472774,TN,36.72564,9.18169
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,Lamego,geonames:2738459,PT,41.09741,-7.80991
1,1,Abyssinia,geonames:337996,ET,9,39.5
1,1,Vasco da Gama,geonames:1253367,IN,15.39585,73.81568
1,1,Portugal,geonames:2264397,PT,39.6945,-8.13057
1,1,India,geonames:1269750,IN,22,79
1,1,Lisbon,geonames:2267057,PT,38.71667,-9.13333
1,1,Europe,geonames:6255148,,48.69096,9.14062
1,1,Portugal,geonames:2264397,PT,39.6945,-8.13057
1,1,India,geonames:1269750,IN,22,79
1,1,Ethiopia,geonames:337996,ET,9,39.5
1,1,Arabia,geonames:3781575,CO,5.11167,-75.57064
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,Manoel,geonames:1040893,MZ,-15.67333,40.02778
1,1,Portugal,geonames:2264397,PT,39.6945,-8.13057
1,1,India,geonames:1269750,IN,22,79
1,1,Persian Gulf,geonames:6915989,IR,27,51
1,1,India,geonames:1269750,IN,22,79
1,1,India,geonames:1269750,IN,22,79
1,1,Masqat,geonames:287286,OM,23.58413,58.40778
1,1,Shaikh,geonames:91021,IQ,36.04934,42.9718
1,1,Shaikh,geonames:91021,IQ,36.04934,42.9718
1,1,Shaikh,geonames:91021,IQ,36.04934,42.9718
1,1,Persia,geonames:8982563,IT,45.29625,9.62254
1,1,India,geonames:1269750,IN,22,79
1,1,Portugal,geonames:2264397,PT,39.6945,-8.13057
1,1,India,geonames:1269750,IN,22,79
